acquisition_campaign,acquisition_campaign_type,acquired_customers,purchasing_customers,repeat_customers,total_revenue,total_orders,campaign_budget,region_target,conversion_rate,repeat_rate,revenue_per_customer,budget_based_cac,budget_based_roas,revenue_rank,roas_rank
68,Search,989,911,706,286158.82,2424.0,345621.0,region_89,0.9211324570273003,0.7749725576289791,289.34157735085944,349.4651162790698,0.8279555351092671,170.0,146.0
7,Affiliate,975,899,685,286007.42,2412.0,322066.0,region_51,0.9220512820512821,0.7619577308120133,293.3409435897436,330.3241025641026,0.8880397806660746,171.0,133.0
42,Social,981,882,690,285423.92,2387.0,266434.0,region_3,0.8990825688073395,0.782312925170068,290.95200815494394,271.59429153924566,1.0712743869025725,172.0,111.0
190,Display,989,905,692,285411.46,2388.0,409384.0,region_30,0.9150657229524772,0.7646408839779005,288.58590495449954,413.93731041456016,0.6971729720751177,173.0,181.0
75,Social,970,889,690,285298.82,2408.0,153087.0,region_76,0.9164948453608247,0.7761529808773904,294.12249484536085,157.8216494845361,1.8636384539510213,174.0,72.0
144,Search,978,902,697,285169.57,2386.0,403271.0,region_50,0.9222903885480572,0.7727272727272727,291.584427402863,412.3425357873211,0.7071412772056508,175.0,175.0
119,Affiliate,952,875,680,285048.21,2370.0,384572.0,region_63,0.9191176470588235,0.7771428571428571,299.4203886554622,403.9621848739496,0.741208954370053,176.0,165.0
33,Display,977,887,674,285001.98,2440.0,337359.0,region_39,0.9078812691914022,0.7598647125140925,291.711340839304,345.30092118730806,0.84480325113603,177.0,140.0
141,Display,969,881,685,284558.8,2404.0,228803.0,region_38,0.9091847265221878,0.7775255391600454,293.66233230134156,236.12280701754386,1.2436847418958668,178.0,95.0
52,Email,974,891,679,284197.0,2413.0,473389.0,region_7,0.9147843942505134,0.7620650953984287,291.7833675564682,486.02566735112936,0.6003455931591144,179.0,198.0
175,Email,959,874,674,284058.89,2374.0,383220.0,region_37,0.9113660062565172,0.7711670480549199,296.2032221063608,399.60375391032323,0.7412423412139242,180.0,164.0
92,Search,968,891,686,283964.67,2379.0,224879.0,region_72,0.9204545454545454,0.7699214365881033,293.3519318181818,232.31301652892563,1.262744275810547,181.0,94.0
31,Email,963,883,680,283075.84,2385.0,331638.0,region_2,0.9169262720664589,0.7701019252548131,293.95206645898236,344.38006230529595,0.8535687707681268,182.0,138.0
50,Display,951,879,672,282926.9,2317.0,314462.0,region_78,0.9242902208201893,0.764505119453925,297.5046267087277,330.664563617245,0.8997172949354771,183.0,130.0
0,Affiliate,1001,917,711,282920.08,2501.0,46187.0,region_33,0.916083916083916,0.7753544165757906,282.63744255744257,46.14085914085914,6.125534890770131,184.0,18.0
111,Email,967,890,695,282753.72000000003,2384.0,140560.0,region_75,0.9203722854188211,0.7808988764044944,292.40301964839716,145.3567735263702,2.011622936824132,185.0,65.0
40,Affiliate,941,868,680,282022.44,2375.0,35934.0,region_91,0.922422954303932,0.783410138248848,299.70503719447396,38.18703506907545,7.848345299716146,186.0,12.0
99,Display,992,898,688,281945.96,2419.0,131465.0,region_34,0.905241935483871,0.7661469933184856,284.2197177419355,132.52520161290323,2.1446465599208917,187.0,57.0
148,Display,917,838,645,281469.7,2326.0,300843.0,region_62,0.9138495092693566,0.7696897374701671,306.9462377317339,328.0730643402399,0.9356032880937898,188.0,125.0
100,Display,953,885,675,280951.82,2365.0,414530.0,region_93,0.9286463798530955,0.7627118644067796,294.8077859391396,434.9737670514166,0.6777599208742431,189.0,185.0
162,Email,950,867,679,280888.26,2365.0,356861.0,region_66,0.9126315789473685,0.7831603229527105,295.67185263157893,375.6431578947368,0.7871083138813152,190.0,153.0
182,Display,966,887,670,279843.0,2376.0,409445.0,region_85,0.9182194616977226,0.7553551296505073,289.6925465838509,423.8561076604555,0.683469086202054,191.0,184.0
29,Search,954,878,674,278556.41,2386.0,495450.0,region_54,0.9203354297693921,0.7676537585421412,291.9878511530398,519.3396226415094,0.5622291048541729,192.0,200.0
168,Affiliate,957,882,695,278231.49,2405.0,98869.0,region_14,0.9216300940438872,0.7879818594104309,290.7330094043887,103.31138975966562,2.8141428556979435,193.0,41.0
65,Email,939,855,666,278094.82,2339.0,135911.0,region_11,0.9105431309904153,0.7789473684210526,296.16061767838124,144.74014909478169,2.046153880112721,194.0,62.0
165,Social,924,858,655,276696.23,2311.0,339211.0,region_71,0.9285714285714286,0.7634032634032634,299.4547943722944,367.11147186147184,0.8157053574323946,195.0,148.0
180,Display,938,865,645,276158.51,2309.0,60448.0,region_32,0.9221748400852878,0.7456647398843931,294.4120575692964,64.44349680170576,4.568530141609317,196.0,27.0
8,Affiliate,953,861,660,275475.09,2305.0,104074.0,region_25,0.9034627492130115,0.7665505226480837,289.06095487932845,109.20671563483735,2.6469155600822494,197.0,44.0
9,Email,949,873,662,274896.52999999997,2363.0,173121.0,region_63,0.9199157007376185,0.7583046964490263,289.66968387776603,182.42465753424656,1.5878866804142766,198.0,79.0
94,Email,922,855,659,272455.63,2302.0,436650.0,region_8,0.9273318872017353,0.7707602339181286,295.505021691974,473.59002169197396,0.6239680064124585,199.0,193.0
177,Search,930,860,668,268651.9,2274.0,231897.0,region_96,0.9247311827956989,0.7767441860465116,288.8730107526882,249.3516129032258,1.1584966601551552,200.0,100.0
